round,loss,acc,auc
48,0.8936746450180703,0.7127659574468085,0.9106247150022798
49,0.9929367532121375,0.7021276595744681,0.9074327405380757
50,0.9680849516645391,0.7021276595744681,0.9074327405380757
51,0.9967133973507171,0.7021276595744681,0.9110807113543091
52,0.9853018446171538,0.7021276595744681,0.9106247150022799
53,0.976370337161612,0.7021276595744681,0.9129046967624259
54,1.006593331377557,0.6914893617021277,0.9119927040583676
55,0.9205609052739245,0.7021276595744681,0.9124487004103966
56,1.0250718593597412,0.6808510638297872,0.9129046967624259
57,0.9050417098593204,0.7021276595744681,0.9138166894664842
58,0.9683977340130095,0.6914893617021277,0.9124487004103967
59,0.9700926187190604,0.6914893617021277,0.9088007295941631
60,0.9411350869117899,0.7021276595744681,0.9179206566347469
61,0.9971167965138212,0.7021276595744681,0.9106247150022799
62,0.9872059238717911,0.7021276595744681,0.9138166894664843
63,0.9685522317886353,0.6914893617021277,0.9097127222982215
64,0.969901757037386,0.6914893617021277,0.9142726858185135
65,0.9413099415758823,0.7021276595744681,0.9147286821705426
66,0.8886324141887908,0.7021276595744681,0.9129046967624258
67,1.0061887071487752,0.6808510638297872,0.913360693114455
68,0.9219915841488128,0.7021276595744681,0.9097127222982216
69,0.946002871432203,0.723404255319149,0.9074327405380757
70,1.0184020691729607,0.7021276595744681,0.9115367077063383
71,0.9580226324974223,0.7127659574468085,0.907888736890105
72,0.9732087571570214,0.7127659574468085,0.9115367077063384
73,0.9817648162233069,0.7021276595744681,0.9074327405380757
74,0.966629388484549,0.7021276595744681,0.9101687186502508
75,0.9218384864482474,0.723404255319149,0.9101687186502507
76,0.9579610368038746,0.7021276595744681,0.9037847697218422
77,0.9403050858923729,0.723404255319149,0.9110807113543091
78,0.9610195489639931,0.723404255319149,0.9069767441860466
79,1.024267186509802,0.7021276595744681,0.9046967624259006
80,0.9612886068668771,0.7021276595744681,0.9074327405380757
81,0.9859717982880613,0.7127659574468085,0.9088007295941631
82,1.0517481108929247,0.6914893617021277,0.9060647514819882
83,0.982083668100073,0.7021276595744681,0.9046967624259006
84,0.916374533734423,0.7553191489361702,0.900592795257638
85,0.9677672842715649,0.7127659574468085,0.9028727770177839
86,0.955265887240146,0.723404255319149,0.9001367989056087
87,0.9452941519148806,0.7021276595744681,0.896032831737346
88,0.9777781456074817,0.723404255319149,0.8987688098495212
89,0.9985878239286706,0.7340425531914894,0.8996808025535795
90,1.0097233412113595,0.7021276595744681,0.8987688098495212
91,0.9856371423031421,0.723404255319149,0.9046967624259006
92,1.0131350781055206,0.7021276595744681,0.896032831737346
93,0.9807906531273051,0.7127659574468085,0.8992248062015503
94,0.9437086201728658,0.7340425531914894,0.903328773369813
95,0.9590173477822161,0.723404255319149,0.8992248062015504
96,1.0198693884179948,0.723404255319149,0.8992248062015504
97,0.9633998591849144,0.7127659574468085,0.9005927952576379
98,1.003032275970946,0.7127659574468085,0.8987688098495212
99,0.9566287385656479,0.7340425531914894,0.903328773369813
100,0.966674731132832,0.723404255319149,0.9033287733698131
101,1.0116809936279947,0.7127659574468085,0.908344733242134
102,1.0439366355855415,0.7021276595744681,0.9010487916096671
103,1.0000761417632407,0.7021276595744681,0.9024167806657546
104,0.936438946013755,0.723404255319149,0.9046967624259006
105,1.0055351333415254,0.6914893617021277,0.9005927952576379
106,0.9842248089770054,0.7340425531914894,0.8992248062015503
107,0.9518956224969093,0.723404255319149,0.8983128134974919
108,1.0157744884490967,0.7021276595744681,0.896032831737346
109,0.9470638442546764,0.723404255319149,0.896032831737346
110,0.9618210741814147,0.7127659574468085,0.8987688098495212
111,0.9886800532645368,0.7021276595744681,0.9005927952576379
112,0.9664231411954189,0.7127659574468085,0.9010487916096672
113,0.99792861431203,0.723404255319149,0.8914728682170542
114,1.0263345723456525,0.7021276595744681,0.8996808025535796
115,1.0339911592767594,0.7127659574468085,0.8974008207934336
116,0.985718919875774,0.7340425531914894,0.8901048791609668
117,1.053785983552324,0.6914893617021277,0.8873689010487916
118,1.005594938359362,0.723404255319149,0.8905608755129959
119,1.0107985912485327,0.7127659574468085,0.8914728682170542
120,0.9808058408980674,0.7340425531914894,0.8928408572731419
121,1.0481295940723825,0.723404255319149,0.8974008207934336
122,1.00651560692077,0.7127659574468085,0.8942088463292294
123,1.0397976357886132,0.7021276595744681,0.8896488828089375
124,0.9724808931350708,0.7340425531914894,0.8937528499772002
125,0.9960419903410241,0.7340425531914894,0.8983128134974919
126,1.0407496665386444,0.723404255319149,0.8928408572731418
127,0.9791858525986367,0.7340425531914894,0.8974008207934336
128,1.0124392788460914,0.7127659574468085,0.9010487916096672
129,1.0349598970819027,0.7021276595744681,0.8974008207934336
130,1.0178550152068442,0.7021276595744681,0.88828089375285
131,1.0563988152970658,0.7021276595744681,0.8942088463292293
132,1.0093259456309867,0.723404255319149,0.8974008207934336
133,1.0460599102872483,0.723404255319149,0.8969448244414044
134,1.028758741439657,0.723404255319149,0.8896488828089375
135,1.0575100284941652,0.7021276595744681,0.8946648426812586
136,0.9862424541026988,0.7340425531914894,0.8873689010487916
137,1.0365009688316507,0.6914893617021277,0.8932968536251711
138,0.957286887980522,0.7340425531914894,0.8896488828089374
139,1.079004389174441,0.6914893617021277,0.8901048791609667
140,1.0598017230946968,0.7021276595744681,0.8946648426812586
141,1.0240551537655769,0.7127659574468085,0.8937528499772002
142,1.0753229856491089,0.6914893617021277,0.8923848609211126
