round,loss,acc,auc
178,0.11921302784271169,0.9628712871287128,0.8671780308654139
179,0.11889344068373194,0.9641089108910891,0.867823197380462
180,0.11910749929449936,0.9641089108910891,0.8668567973286327
181,0.1196402233684122,0.9625618811881188,0.8681768242150699
182,0.120731177131212,0.9613242574257426,0.8656744419579588
183,0.12091753925980613,0.963180693069307,0.8650495212540525
184,0.12089095212113445,0.9613242574257426,0.8641600552845616
185,0.12037379180293271,0.9610148514851485,0.8682888510367205
186,0.12154644926880846,0.9613242574257426,0.8667110274884126
187,0.12097686063498259,0.9622524752475248,0.8657149335802421
188,0.12103412218281243,0.9625618811881188,0.8654179950168309
189,0.12102534081602451,0.963490099009901,0.8658202117981789
190,0.12095404360074513,0.9641089108910891,0.8653019190329521
191,0.12074283714230993,0.963180693069307,0.8661562922631308
192,0.12220957623518044,0.9619430693069307,0.8614700618442044
193,0.12182133709366369,0.9625618811881188,0.8663587503745476
194,0.12223924727796918,0.963180693069307,0.8640507279043965
195,0.12292014292930023,0.9619430693069307,0.865400448647175
196,0.12188652848437576,0.963490099009901,0.8655813112267072
197,0.1223334775647462,0.9628712871287128,0.8669188844828004
198,0.12257614159163567,0.963799504950495,0.8646540530764185
199,0.12188527211178057,0.963490099009901,0.8664761760791693
200,0.12210654557710236,0.9628712871287128,0.8679419728058264
