round,global_loss,global_acc,global_auc
35,0.16231666093012376,0.9489404869251578,0.8970350540059596
36,0.16216191951455455,0.949165915238954,0.8975070441168438
37,0.16186524690544557,0.9480387736699729,0.8968982852305593
38,0.16139656788294982,0.9489404869251578,0.8976754078748219
39,0.162165491804363,0.9486023444544635,0.895593096494096
40,0.16361524849217654,0.9484896302975654,0.8961109242514789
41,0.16271260886610972,0.9488277727682597,0.8954646138483117
42,0.16120027108336282,0.9488277727682597,0.89528797432212
43,0.1642810733977544,0.9484896302975654,0.8949748939709767
44,0.16343656845195126,0.9481514878268711,0.89501703133771
45,0.16364500062381454,0.9475879170423805,0.8951706655849972
46,0.1617982247787653,0.9487150586113616,0.8949153346822978
47,0.16306057497812812,0.9482642019837692,0.8937464878982552
48,0.16371045029084758,0.9473624887285843,0.8935161687695979
49,0.16440394694364324,0.9472497745716862,0.8926208251845036
50,0.16484853121090084,0.9473624887285843,0.8915333557811329
51,0.16383394055220493,0.9474752028854824,0.89024044047231
52,0.16424942211347915,0.9478133453561768,0.8909550537748
53,0.1663148145890913,0.9477006311992786,0.8888487629852728
54,0.16502779939865259,0.9487150586113616,0.8894547053521593
55,0.1630872308028437,0.9490532010820559,0.8891482016575222
56,0.16317489586549672,0.9488277727682597,0.891525632268273
57,0.16454612238503105,0.9493913435527502,0.8925278453859865
58,0.16501583751102925,0.9488277727682597,0.8893580867627255
59,0.1643929689143414,0.9489404869251578,0.8910498252347664
60,0.16542460723667565,0.949165915238954,0.8933657973016761
61,0.16348424119554877,0.9495040577096483,0.8938221374825268
62,0.1636698895988094,0.9500676284941388,0.8918908544170876
63,0.16496234701743148,0.9495040577096483,0.8938472581971985
64,0.16322184457171565,0.9497294860234445,0.8951591457888027
65,0.16477711968660536,0.9486023444544635,0.8943024031296197
66,0.1635484091796458,0.9493913435527502,0.8938411652514141
67,0.1653092183446473,0.9484896302975654,0.8913735834545858
68,0.1621604036893343,0.9481514878268711,0.8923480259912543
69,0.16492812812132668,0.9487150586113616,0.8937967470705135
70,0.1648186617104691,0.9483769161406672,0.8897637187552015
71,0.16523351259231467,0.9490532010820559,0.8928183214608433
72,0.1635699353659084,0.9483769161406672,0.8926662833544021
73,0.16492441407198252,0.9490532010820559,0.8943758299372121
74,0.16657931615877308,0.9493913435527502,0.8901632956950829
75,0.16383636746021463,0.9483769161406672,0.8904490578070461
76,0.1655223940812367,0.9495040577096483,0.8908062563262994
77,0.16537725841466966,0.9493913435527502,0.8886125048260629
78,0.1655337363731358,0.949165915238954,0.8881389976602263
79,0.1639895786611469,0.949165915238954,0.8868112599483626
80,0.16572493043471198,0.9499549143372408,0.8865280188878195
81,0.1658068213752925,0.9496167718665465,0.8879220759712261
82,0.16488328504496202,0.9496167718665465,0.8875595545847044
83,0.1649937039433086,0.9499549143372408,0.8879369810426858
84,0.16682932548316462,0.9497294860234445,0.885630676422336
85,0.16604844791179807,0.9488277727682597,0.8866143766000627
86,0.165593247770813,0.949165915238954,0.8863582814689895
87,0.16528526832693072,0.9487150586113616,0.8855050801379988
88,0.16605180224367627,0.9490532010820559,0.885321207866471
89,0.16617720493542096,0.9497294860234445,0.8877435036903609
90,0.16648113086162097,0.9496167718665465,0.8853096664036983
91,0.168391631007517,0.949165915238954,0.8876653035481221
92,0.1648789679000072,0.9489404869251578,0.8866799838254298
93,0.16384071992110624,0.949165915238954,0.8871544116256223
94,0.16447963131355697,0.9488277727682597,0.8854994862445916
95,0.16732154573134178,0.9490532010820559,0.8864944503776429
96,0.16568157784733165,0.9486023444544635,0.8871128510633877
97,0.16413376725012582,0.9486023444544635,0.8859866104803726
98,0.16669573108737026,0.9486023444544635,0.8857138621679357
99,0.1643433222808347,0.9488277727682597,0.8864583147582964
100,0.1646555331434863,0.9486023444544635,0.8867151172785879
101,0.16693130816875498,0.9486023444544635,0.8870523110172328
102,0.1672581868438089,0.9474752028854824,0.8849365283284071
103,0.1673426081464652,0.9484896302975654,0.8891367515568156
104,0.1662331136061942,0.9482642019837692,0.8872803725514274
105,0.16423625024405078,0.9489404869251578,0.8858873743264717
106,0.16388857848329236,0.9488277727682597,0.886391997028884
